,TrainMAE,TrainMAPE,TrainRMSE,TrainNSE,ValMAE,ValMAPE,ValRMSE,ValNSE,TestMAE,TestMAPE,TestRMSE,TestNSE
Dp5,0.092086255,0.009440871,0.127541032,0.999426071,0.349631518,0.046437449,0.493474021,0.993201856,0.341197071,0.0312253,0.501707302,0.990079297
D1,0.080190234,0.008513245,0.108554929,0.999565228,0.2655607,0.028976228,0.384125052,0.995631195,0.26802171,0.024580494,0.381917577,0.993998916
D2,0.070518285,0.007281626,0.097960422,0.999587722,0.240655389,0.022039653,0.394964542,0.994939417,0.214557075,0.020307992,0.305475359,0.995641278
D3,0.061512416,0.006575898,0.085989627,0.99962061,0.273509579,0.023928269,0.45916715,0.992360786,0.209990037,0.020012227,0.327786007,0.994157869
D4,0.058871053,0.006366018,0.08237019,0.999588368,0.261132978,0.027417353,0.469448158,0.990037995,0.203099868,0.020572233,0.30769912,0.993652129
D5,0.064409224,0.007162081,0.093043821,0.999347786,0.467219944,0.048455329,0.773007774,0.961999683,0.278985577,0.02798949,0.461249558,0.981042599
D6,0.067479219,0.007640276,0.096411157,0.999042506,0.426481732,0.049070802,0.61964276,0.96162225,0.251638616,0.02740119,0.37392259,0.983336465
D7,0.071692473,0.008304025,0.106671889,0.998262115,0.37524527,0.049981084,0.53327336,0.951487087,0.237361598,0.028022014,0.342156298,0.981391025
D8,0.048111108,0.00615153,0.069508171,0.998926359,0.24044559,0.037349491,0.330311274,0.970905135,0.205629858,0.025714438,0.298582854,0.982000138
D9,0.024159949,0.003512249,0.03296878,0.999699027,0.182938842,0.030160082,0.230209366,0.983285972,0.173826531,0.022885991,0.272199597,0.979951129
D10,0.017895055,0.002726279,0.024376371,0.999820084,0.117229988,0.020380852,0.147265824,0.992690256,0.105406104,0.015175459,0.153619428,0.992497039
D12,0.016581265,0.002618519,0.022558871,0.999835813,0.08431769,0.014462496,0.106891279,0.995408923,0.110555404,0.016175796,0.156150982,0.990370556
